"","Num","Den","Ratio"
"1",2586.2031551768,56.5527392171444,45.7308203099872
"2",30491.3062858038,913.167102097787,33.3907191966915
"3",4141.6827654986,78.8256409114956,52.5423290899572
"4",1975.41151589783,68.5863559841339,28.8018146984628
"5",18827.8694624574,362.001425617646,52.0104842966663
"6",6280.18928541384,137.199009132331,45.7743049686058
"7",8597.048014628,182.033027058708,47.2279572203968
"8",4995.37406957286,242.784981374354,20.575300998007
"9",7402.01128994334,216.60642395377,34.1726305011302
"10",1168.45969407619,52.5160137690922,22.2495884629362
"11",5455.35751631229,243.300278864865,22.4223233190059
"12",1778.23590242775,60.7881100113989,29.2530217191206
"13",3208.08646909292,195.23745875502,16.4317159706445
"14",2248.99890180732,56.4393238033984,39.8480837517033
"15",2215.64778488918,72.7991959651834,30.4350584579097
"16",14297.9870101914,454.963627091803,31.4266595366894
"17",3948.72207605114,190.487972203159,20.7295086948574
"18",1653.014172182,77.3919835145221,21.358984446649
"19",2545.00999325955,86.1178969989223,29.5526258994852
"20",2749.01567019957,72.9119761424474,37.7032116758
